recurso1,recurso,cantidad,tipo,categoria
Pastos limpios,Pastos limpios del Orobioma Subandino Cauca Medio,228,aprovechaforestalpg,Pastos limpios del Orobioma Subandino Cauca Medio
Caña,Caña del Orobioma Azonal Subandino Cauca Medio,47,aprovechaforestalpg,Caña del Orobioma Azonal Subandino Cauca Medio
Cuerpos de agua artificiales,Cuerpos de agua artificiales del Hidrobioma Cauca Medio,3,aprovechaforestalpg,Cuerpos de agua artificiales del Hidrobioma Cauca Medio
Guadual,Guadual del Orobioma Subandino Cauca Medio,51,aprovechaforestalpg,Guadual del Orobioma Subandino Cauca Medio
"Lagunas, lagos y ciénagas naturales","Lagunas, lagos y ciénagas naturales del Hidrobioma Cauca Medio",2,aprovechaforestalpg,"Lagunas, lagos y ciénagas naturales del Hidrobioma Cauca Medio"
Mosaico de pastos y cultivos,Mosaico de pastos y cultivos del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Mosaico de pastos y cultivos del Orobioma Azonal Subandino Cauca Medio
Pastos arbolados,Pastos arbolados del Orobioma Subandino Cauca Medio,332,aprovechaforestalpg,Pastos arbolados del Orobioma Subandino Cauca Medio
Pastos enmalezados,Pastos enmalezados del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Pastos enmalezados del Orobioma Azonal Subandino Cauca Medio
Pastos enmalezados,Pastos enmalezados del Orobioma Subandino Cauca Medio,150,aprovechaforestalpg,Pastos enmalezados del Orobioma Subandino Cauca Medio
Pastos limpios,Pastos limpios del Orobioma Azonal Subandino Cauca Medio,8,aprovechaforestalpg,Pastos limpios del Orobioma Azonal Subandino Cauca Medio
Red vial y terrenos asociados,Red vial y terrenos asociados del Orobioma Subandino Cauca Medio,1,aprovechaforestalpg,Red vial y terrenos asociados del Orobioma Subandino Cauca Medio
Ríos,Ríos del Hidrobioma Cauca Medio,1,aprovechaforestalpg,Ríos del Hidrobioma Cauca Medio
Tejido urbano discontinuo,Tejido urbano discontinuo del Orobioma Subandino Cauca Medio,1,aprovechaforestalpg,Tejido urbano discontinuo del Orobioma Subandino Cauca Medio
Vegetación secundaria alta,Vegetación secundaria alta del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Vegetación secundaria alta del Orobioma Azonal Subandino Cauca Medio
Vegetación secundaria alta,Vegetación secundaria alta del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Vegetación secundaria alta del Orobioma Subandino Cauca Medio
Vegetación secundaria baja,Vegetación secundaria baja del Orobioma Azonal Subandino Cauca Medio,2,aprovechaforestalpg,Vegetación secundaria baja del Orobioma Azonal Subandino Cauca Medio
Vegetación secundaria baja,Vegetación secundaria baja del Orobioma Subandino Cauca Medio,4,aprovechaforestalpg,Vegetación secundaria baja del Orobioma Subandino Cauca Medio
Bosque de galería y ripario,Bosque de galería y ripario del Orobioma Subandino Cauca Medio,108,aprovechaforestalpg,Bosque de galería y ripario del Orobioma Subandino Cauca Medio
Bosque de galería y ripario,Bosque de galería y ripario del Orobioma Azonal Subandino Cauca Medio,4,aprovechaforestalpg,Bosque de galería y ripario del Orobioma Azonal Subandino Cauca Medio
Caña,Caña del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Caña del Orobioma Subandino Cauca Medio
Cultivos permanentes arbóreos,Cultivos permanentes arbóreos del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Cultivos permanentes arbóreos del Orobioma Subandino Cauca Medio
Cultivos permanentes arbustivos,Cultivos permanentes arbustivos del Orobioma Subandino Cauca Medio,15,aprovechaforestalpg,Cultivos permanentes arbustivos del Orobioma Subandino Cauca Medio
Guadual,Guadual del Orobioma Azonal Subandino Cauca Medio,18,aprovechaforestalpg,Guadual del Orobioma Azonal Subandino Cauca Medio
Mosaico de pastos y cultivos,Mosaico de pastos y cultivos del Orobioma Subandino Cauca Medio,4,aprovechaforestalpg,Mosaico de pastos y cultivos del Orobioma Subandino Cauca Medio
Pastos arbolados,Pastos arbolados del Orobioma Azonal Subandino Cauca Medio,12,aprovechaforestalpg,Pastos arbolados del Orobioma Azonal Subandino Cauca Medio
Pithecellobium dulce,Chiminango/payandé,38,aprovechaforestalpt,Chiminango/payandé
Senna spectabilis,Vainillo/cañafístulo,39,aprovechaforestalpt,Vainillo/cañafístulo
Zanthoxylum rhoifolium,Tachuelo,1,aprovechaforestalpt,Tachuelo
Samanea saman,Samán,37,aprovechaforestalpt,Samán
Cordia alliodora,Nogalito,137,aprovechaforestalpt,Nogalito
Trema micrantha,Zurrumbo,56,aprovechaforestalpt,Zurrumbo
Ficus cf. obtusifolia,Higuerón,12,aprovechaforestalpt,Higuerón
Cupressus lusitanica,Ciprés,9,aprovechaforestalpt,Ciprés
Beilschmiedia cf. costaricensis,Aguacatillo,13,aprovechaforestalpt,Aguacatillo
Xylosma cf. benthamii,Cacho de venado,2,aprovechaforestalpt,Cacho de venado
Cupania latifolia,Guacharaco/mestizo,140,aprovechaforestalpt,Guacharaco/mestizo
